Country Code,State Code,City,Terminal Name,Product Name,My Product ID,Back Office Product ID,Driver Product ID
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,Conv. 87 Unleaded Reg,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,Conv. 89 Unleaded Mid,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,Conv. 91 Unleaded Prem,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,87 oct w/ 10% eth,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,88 oct w/ 10% eth,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,89 oct w/ 10% eth,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,91 oct w/ 10% eth,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,92 oct w/ 10% eth,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,93 oct w/ 10% eth,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,Jet Fuel,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,Ethanol E100,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,Conv. 84 Unleaded,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,86 oct w/ 10% eth,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,ULSD #2,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,ULSD #1,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,ULSD #2 Dyed,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,ULSD #1 Dyed,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,ULSD #2 Premium,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,ULSD #2 Premium Dyed,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,ULSD #2 Winter,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,ULSD #2 Winter Dyed,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,Bdsl B2 SME ULSD#2 Winter Dyed,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,Bdsl B5 SME ULSD,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,Bdsl B5 SME ULSD Dyed,,,
USA,SD,Aberdeen,NuStar Energy LP - Aberdeen,ULSD #2 Premium Winter,,,
